Ticket,Symbol,Type,Volume,Open Time,Close Time,Open Price,Close Price,Profit,Commission,Swap,Comment
1001,EURUSD,buy,0.10,2024.05.01 09:00:00,2024.05.01 09:42:00,1.07210,1.07380,17.00,-0.70,0.00,Breakout setup
1002,EURUSD,sell,0.10,2024.05.01 11:00:00,2024.05.01 11:25:00,1.07390,1.07310,8.00,-0.70,0.00,Mean reversion
1003,XAUUSD,buy,0.05,2024.05.02 14:15:00,2024.05.02 15:10:00,2305.20,2308.40,16.00,-1.50,0.00,FOMC reaction
1004,XAUUSD,sell,0.05,2024.05.03 09:30:00,2024.05.03 09:55:00,2306.10,2310.50,-22.00,-1.50,0.00,Fade rejected
1005,GBPUSD,buy,0.20,2024.05.06 08:00:00,2024.05.06 08:35:00,1.25450,1.25510,12.00,-1.40,-0.20,
1006,GBPUSD,sell,0.20,2024.05.06 13:00:00,2024.05.06 13:08:00,1.25490,1.25380,22.00,-1.40,0.00,Sunday gap
1007,USDJPY,buy,0.10,2024.05.07 02:00:00,2024.05.07 04:10:00,154.20,154.62,27.20,-0.70,-1.10,Carry
1008,USDJPY,sell,0.10,2024.05.08 09:00:00,2024.05.08 09:25:00,155.30,155.45,-9.70,-0.70,0.00,
1009,EURUSD,buy,0.10,2024.05.09 09:00:00,2024.05.09 09:14:00,1.07810,1.07720,-9.00,-0.70,0.00,Stopped
1010,EURUSD,buy,0.30,2024.05.09 09:20:00,2024.05.09 09:30:00,1.07690,1.07550,-42.00,-2.10,0.00,Revenge
1011,XAUUSD,buy,0.05,2024.05.10 13:00:00,2024.05.10 14:30:00,2330.50,2342.10,58.00,-1.50,0.00,Trend continuation
1012,XAUUSD,buy,0.05,2024.05.13 13:00:00,2024.05.13 14:00:00,2331.20,2335.80,23.00,-1.50,0.00,
1013,EURUSD,sell,0.10,2024.05.14 14:00:00,2024.05.14 14:45:00,1.08200,1.08120,8.00,-0.70,0.00,
1014,EURUSD,buy,0.10,2024.05.15 09:00:00,2024.05.15 09:30:00,1.08440,1.08380,-6.00,-0.70,0.00,
1015,USDJPY,sell,0.10,2024.05.16 09:00:00,2024.05.16 12:00:00,155.10,154.30,51.50,-0.70,-1.10,
1016,GBPUSD,buy,0.10,2024.05.17 08:30:00,2024.05.17 09:30:00,1.26100,1.26350,25.00,-0.70,0.00,Pullback
1017,GBPUSD,buy,0.10,2024.05.20 08:30:00,2024.05.20 09:00:00,1.26900,1.27050,15.00,-0.70,0.00,
1018,XAUUSD,sell,0.05,2024.05.21 14:00:00,2024.05.21 14:45:00,2425.10,2418.60,32.50,-1.50,0.00,
1019,EURUSD,buy,0.10,2024.05.22 09:00:00,2024.05.22 09:25:00,1.08550,1.08620,7.00,-0.70,0.00,
1020,EURUSD,buy,0.10,2024.05.23 09:00:00,2024.05.23 09:30:00,1.08300,1.08280,-2.00,-0.70,0.00,
